GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,SumLatency,StepRuntime
821.000,8.755174000,.003,12.890177000,977.000,1819.648351000,2956.000
824.000,8.755174000,.003,12.890177000,960.000,1805.648351000,2951.000
821.000,8.755174000,.003,12.890177000,1003.000,1845.648351000,3000.000
821.000,8.755174000,.003,12.890177000,944.000,1786.648351000,2941.000
812.000,8.755174000,.003,12.890177000,954.000,1787.648351000,2959.000
805.000,8.755174000,.003,12.890177000,1013.000,1839.648351000,2998.000
824.000,8.755174000,.003,12.890177000,946.000,1791.648351000,2946.000
824.000,8.755174000,.003,12.890177000,988.000,1833.648351000,3014.000
832.000,8.755174000,.002,12.890177000,1016.000,1869.647351000,3041.000
812.000,8.755174000,.001,12.890177000,954.000,1787.646351000,2955.000
808.000,8.755174000,.003,12.890177000,1038.000,1867.648351000,3042.000
842.000,8.755174000,.003,12.890177000,1532.000,2395.648351000,3552.000
838.000,8.755174000,.003,12.890177000,1003.000,1862.648351000,3020.000
826.000,8.755174000,.003,12.890177000,995.000,1842.648351000,2996.000
844.000,8.755174000,.002,12.890177000,968.000,1833.647351000,3000.000
833.000,8.755174000,.003,12.890177000,1014.000,1868.648351000,3038.000
828.000,8.755174000,.003,12.890177000,933.000,1782.648351000,2953.000
811.000,8.755174000,.003,12.890177000,953.000,1785.648351000,2942.000
810.000,8.755174000,.003,12.890177000,1011.000,1842.648351000,2994.000
820.000,8.755174000,.003,12.890177000,942.000,1783.648351000,2959.000
827.000,8.755174000,.002,12.890177000,1037.000,1885.647351000,3054.000
830.000,8.755174000,.003,12.890177000,942.000,1793.648351000,2939.000
828.000,8.755174000,.002,12.890177000,1005.000,1854.647351000,3024.000
848.000,8.755174000,.003,12.890177000,945.000,1814.648351000,2981.000
812.000,8.755174000,.003,12.890177000,996.000,1829.648351000,3004.000
827.000,8.755174000,.003,12.890177000,1013.000,1861.648351000,3015.000
826.000,8.755174000,.003,12.890177000,1.000,848.648351000,1973.000
827.000,8.755174000,.003,12.890177000,987.000,1835.648351000,3000.000
829.000,8.755174000,.003,12.890177000,996.000,1846.648351000,3012.000
820.000,8.755174000,.002,12.890177000,994.000,1835.647351000,2999.000
822.000,8.755174000,.002,12.890177000,941.000,1784.647351000,2919.000
824.000,8.755174000,.003,12.890177000,982.000,1827.648351000,2984.000
817.000,8.755174000,.003,12.890177000,999.000,1837.648351000,3006.000
818.000,8.755174000,.002,12.890177000,996.000,1835.647351000,2997.000
826.000,8.755174000,.003,12.890177000,1006.000,1853.648351000,3000.000
822.000,8.755174000,.003,12.890177000,993.000,1836.648351000,2996.000
817.000,8.755174000,.003,12.890177000,1003.000,1841.648351000,2997.000
823.000,8.755174000,.002,12.890177000,993.000,1837.647351000,3009.000
836.000,8.755174000,.003,12.890177000,1031.000,1888.648351000,3043.000
815.000,8.755174000,.002,12.890177000,970.000,1806.647351000,3000.000
819.000,8.755174000,.003,12.890177000,1012.000,1852.648351000,2998.000
840.000,8.755174000,.002,12.890177000,973.000,1834.647351000,2999.000
827.000,8.755174000,.002,12.890177000,954.000,1802.647351000,2975.000
825.000,8.755174000,.003,12.890177000,1011.000,1857.648351000,3031.000
805.000,8.755174000,.003,12.890177000,1017.000,1843.648351000,3004.000
828.000,8.755174000,.002,12.890177000,991.000,1840.647351000,2996.000
821.000,8.755174000,.003,12.890177000,1030.000,1872.648351000,3016.000
818.000,8.755174000,.003,12.890177000,946.000,1785.648351000,2960.000
807.000,8.755174000,.002,12.890177000,997.000,1825.647351000,2985.000
810.000,8.755174000,.003,12.890177000,965.000,1796.648351000,2944.000
821.000,8.755174000,.003,12.890177000,958.000,1800.648351000,2947.000
827.000,8.755174000,.003,12.890177000,1030.000,1878.648351000,3054.000
822.000,8.755174000,.003,12.890177000,1002.000,1845.648351000,3003.000
818.000,8.755174000,.003,12.890177000,950.000,1789.648351000,2937.000
839.000,8.755174000,.003,12.890177000,1017.000,1877.648351000,3058.000
822.000,8.755174000,.002,12.890177000,969.000,1812.647351000,2971.000
