GazeboRead,NS3Link1,ReadFile,NS3Link2,GazeboPublish,SumLatency,StepRuntime
822.000,8.755174000,.003,12.890177000,982.000,1825.648351000,2991.000
835.000,8.755174000,.002,12.890177000,1004.000,1860.647351000,3008.000
837.000,8.755174000,.003,12.890177000,946.000,1804.648351000,2992.000
831.000,8.755174000,.003,12.890177000,1007.000,1859.648351000,3051.000
815.000,8.755174000,.004,12.890177000,948.000,1784.649351000,2953.000
825.000,8.755174000,.003,12.890177000,1043.000,1889.648351000,3050.000
830.000,8.755174000,.004,12.890177000,940.000,1791.649351000,2953.000
817.000,8.755174000,.003,12.890177000,1029.000,1867.648351000,3038.000
830.000,8.755174000,.003,12.890177000,984.000,1835.648351000,3007.000
811.000,8.755174000,.003,12.890177000,1025.000,1857.648351000,3004.000
837.000,8.755174000,.003,12.890177000,1007.000,1865.648351000,3038.000
825.000,8.755174000,.003,12.890177000,1017.000,1863.648351000,3027.000
821.000,8.755174000,.002,12.890177000,936.000,1778.647351000,2975.000
807.000,8.755174000,.002,12.890177000,1062.000,1890.647351000,3054.000
836.000,8.755174000,.003,12.890177000,977.000,1834.648351000,2999.000
815.000,8.755174000,.003,12.890177000,954.000,1790.648351000,2970.000
830.000,8.755174000,.003,12.890177000,991.000,1842.648351000,2983.000
814.000,8.755174000,.003,12.890177000,963.000,1798.648351000,2948.000
832.000,8.755174000,.002,12.890177000,945.000,1798.647351000,2962.000
815.000,8.755174000,.003,12.890177000,1068.000,1904.648351000,3044.000
815.000,8.755174000,.002,12.890177000,947.000,1783.647351000,2947.000
841.000,8.755174000,.003,12.890177000,1037.000,1899.648351000,3050.000
808.000,8.755174000,.003,12.890177000,987.000,1816.648351000,2951.000
813.000,8.755174000,.003,12.890177000,939.000,1773.648351000,2915.000
814.000,8.755174000,.003,12.890177000,986.000,1821.648351000,2972.000
827.000,8.755174000,.002,12.890177000,982.000,1830.647351000,3006.000
822.000,8.755174000,.002,12.890177000,996.000,1839.647351000,2996.000
838.000,8.755174000,.003,12.890177000,1021.000,1880.648351000,3059.000
833.000,8.755174000,.003,12.890177000,995.000,1849.648351000,3006.000
814.000,8.755174000,.003,12.890177000,1013.000,1848.648351000,2995.000
829.000,8.755174000,.003,12.890177000,971.000,1821.648351000,2999.000
817.000,8.755174000,.002,12.890177000,996.000,1834.647351000,2970.000
830.000,8.755174000,.003,12.890177000,1037.000,1888.648351000,3027.000
835.000,8.755174000,.003,12.890177000,1.000,857.648351000,2017.000
824.000,8.755174000,.003,12.890177000,932.000,1777.648351000,2941.000
813.000,8.755174000,.003,12.890177000,1002.000,1836.648351000,2990.000
827.000,8.755174000,.005,12.890177000,1014.000,1862.650351000,3024.000
810.000,8.755174000,.002,12.890177000,1009.000,1840.647351000,3026.000
827.000,8.755174000,.002,12.890177000,947.000,1795.647351000,2955.000
815.000,8.755174000,.002,12.890177000,1063.000,1899.647351000,3051.000
810.000,8.755174000,.003,12.890177000,1013.000,1844.648351000,2995.000
825.000,8.755174000,.003,12.890177000,1009.000,1855.648351000,3009.000
812.000,8.755174000,.002,12.890177000,954.000,1787.647351000,2966.000
833.000,8.755174000,.003,12.890177000,1020.000,1874.648351000,3039.000
824.000,8.755174000,.003,12.890177000,954.000,1799.648351000,2959.000
816.000,8.755174000,.003,12.890177000,1.000,838.648351000,2021.000
825.000,8.755174000,.003,12.890177000,958.000,1804.648351000,2966.000
818.000,8.755174000,.003,12.890177000,1014.000,1853.648351000,3034.000
815.000,8.755174000,.003,12.890177000,999.000,1835.648351000,2980.000
820.000,8.755174000,.003,12.890177000,1019.000,1860.648351000,3029.000
824.000,8.755174000,.003,12.890177000,981.000,1826.648351000,2996.000
825.000,8.755174000,.004,12.890177000,963.000,1809.649351000,2965.000
848.000,8.755174000,.003,12.890177000,949.000,1818.648351000,2982.000
795.000,8.755174000,.003,12.890177000,948.000,1764.648351000,2917.000
820.000,8.755174000,.003,12.890177000,1027.000,1868.648351000,3033.000
825.000,8.755174000,.003,12.890177000,947.000,1793.648351000,2947.000
828.000,8.755174000,.002,12.890177000,992.000,1841.647351000,3008.000
821.000,8.755174000,.003,12.890177000,982.000,1824.648351000,2988.000
827.000,8.755174000,.003,12.890177000,1007.000,1855.648351000,3004.000
832.000,8.755174000,.003,12.890177000,1017.000,1870.648351000,3043.000
818.000,8.755174000,.003,12.890177000,966.000,1805.648351000,2958.000
822.000,8.755174000,.003,12.890177000,1002.000,1845.648351000,3020.000
837.000,8.755174000,.003,12.890177000,1005.000,1863.648351000,3024.000
821.000,8.755174000,.003,12.890177000,954.000,1796.648351000,2966.000
840.000,8.755174000,.003,12.890177000,1013.000,1874.648351000,3027.000
823.000,8.755174000,.003,12.890177000,954.000,1798.648351000,2967.000
826.000,8.755174000,.004,12.890177000,981.000,1828.649351000,2979.000
813.000,8.755174000,.003,12.890177000,1000.000,1834.648351000,2999.000
